N,Time,M,X,O,Lambda,X_scaled,X_scaled2,Y_i0,Y_i1,Y_i2,Y_i3,Y_i4,Y_i5,Y_i6,Y_i7,Y_i8,Y_i9,Y_i10,Y_i11,Y_i12,Y_i13,Z_i0,Z_i1,Z_i2,Z_i3,Z_i4,Z_i5,Z_i6,Z_i7,Z_i8,Z_i9,Z_i10,Z_i11,Z_i12,Z_i13,M_prev,X_prev,X_prev_scaled
0.0,1,0.0,0.9582486430202413,0.0,3.850673859302925e-65,0.7151781094816866,0.6972337279314575,0.6719035738100403,0.663792080159299,0.6951340156967208,0.6955216984593452,0.6761848866687118,0,0,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.7276125387810539
0.0,2,0.0,0.9840040556195367,0.0,6.249817925945099e-67,0.7328073887476801,0.7159736890801844,0.6934338127648305,0.7078225501569883,0.6986831744214717,0.6901652858614109,0.7239440513518001,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.9582486430202413,0.6972337279314575
0.0,3,0.0,0.969658054717605,0.0,6.204826039887726e-66,0.7229877185996947,0.7055353589425747,0.6619044255176926,0.6709803811285943,0.6945375524939543,0.6858419287204747,0.6855720481176315,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.9840040556195367,0.7159736890801844
0.0,4,0.0,0.8839922358734537,0.0,5.564170070871476e-60,0.6643504656288425,0.6432038350066238,0.6578225962023898,0.6261885128961997,0.6323499260816298,0.6525175695929042,0.6567916098246298,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.969658054717605,0.7055353589425747
0.0,5,0.0,0.9095134637278662,0.0,9.375703126201314e-62,0.6818194481707414,0.6617734003985827,0.6797715026302364,0.6522815500648999,0.6549739985021733,0.6817292713617488,0.6752329674153744,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.8839922358734537,0.6432038350066238
0.0,6,0.0,0.9539948483040069,0.0,7.605375622207879e-65,0.7122664366554956,0.6941386135585249,0.7110356749968533,0.6806159252899,0.6783224430826874,0.7051102939667232,0.6973884971084113,1,1,1,1,2,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.9095134637278662,0.6617734003985827
0.0,7,0.0,0.9196356326488206,0.0,1.8562801053718954e-62,0.6887479546350466,0.669138417425129,0.7185635530159917,0.626030674886678,0.6709237458874983,0.6808891750399373,0.6887547599553568,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.9539948483040069,0.6941386135585249
0.0,8,0.0,0.8159541023839156,0.0,2.9728578619787882e-55,0.617779157504785,0.5936984359643768,0.5872114096707715,0.5795332770233724,0.5685345031000919,0.5776753163865546,0.6016727591572577,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.9196356326488206,0.669138417425129
0.0,9,0.0,0.8183468950511188,0.0,2.027243333705416e-55,0.619416996152996,0.5954394619117372,0.5687270926370716,0.5842160758399074,0.6080375776325767,0.5813721143248506,0.5498031392857022,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.8159541023839156,0.5936984359643768
0.0,10,0.0,0.8070180466880204,0.0,1.2419808337081374e-54,0.6116625316968288,0.5871964497927975,0.652621975249402,0.518610275542061,0.6016881874526442,0.5966968555697622,0.5922773286194669,1,1,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.8183468950511188,0.5954394619117372
